Loan_ID,Business_Type,Repayment_Frequency,City_Tier,Repeat_Borrower,Group_Loan,Loan_Amount,Interest_Rate_pct,Tenure_Months,Income_Monthly,Credit_Score,Collateral_Value,Distance_to_Branch_km,Financial_Literacy_Score,Repayment_Time_Days
L802634,Grocery,Weekly,Tier3,1,1,44743.84,18.26,9,44799.96,628.0,21529.05,5.5,64.1,252.4
L809220,Tailoring,Monthly,tier1,1,0,51933.57,17.04,8,26209.23,579.0,38627.13,7.0,79.2,250.2
L809843,Food Stall,Biweekly,Tier2,1,1,199793.67,15.79,11,61675.1,598.0,132162.14,3.5,43.4,294.5
L809346,Handicraft,Weekly,Tier1,1,1,51539.24,14.34,7,43005.77,612.0,7115.2,0.2,56.3,177.2
L804767,Farming,Biweekly,Tier1,1,0,60437.12,12.32,12,61986.01,755.0,5729.07,0.0,92.6,298.9
L808596,Tailoring,Monthly,Tier2,0,1,165760.17,13.06,19,37450.13,695.0,111003.6,4.1,63.1,536.3
L809785,Services,Weekly,Tier2,1,0,88749.19,14.9,9,,677.0,22782.21,2.9,52.5,224.6
L802038,Services,Weekly,Tier3,0,1,89420.05,14.88,16,35298.82,644.0,21476.66,0.0,89.5,419.5
L808358,Handicraft,Monthly,Tier2,0,1,42536.68,15.55,14,29704.66,604.0,12034.67,5.1,72.9,409.5
L801357,Tailoring,Biweekly,Tier1,1,0,27625.29,12.34,7,41020.04,669.0,11208.04,4.0,66.5,176.1
L809927,Tailoring,Weekly,Tier2,0,1,78132.08,8.0,16,25688.23,553.0,340.66,4.0,70.0,445.8
L800657,Handicraft,Weekly,Tier3,0,1,21451.46,21.78,23,40496.01,615.0,8995.14,5.9,56.9,673.7
L808104,Farming,Weekly,Tier3,0,0,30977.64,22.63,16,20517.27,698.0,7716.19,2.2,62.8,450.0
L800507,Services,Weekly,Tier3,1,0,40995.89,12.85,15,32052.84,727.0,17976.49,3.2,91.5,393.5
L808774,Food Stall,Biweekly,Tier2,1,0,44063.08,13.82,14,40727.96,709.0,31971.17,2.1,77.5,385.3
L806590,Tailoring,Biweekly,Tier3,0,1,46299.7,26.98,14,,691.0,0.0,6.5,66.3,400.4
L808442,Tailoring,Weekly,Tier2,1,0,95745.53,18.16,19,41529.88,656.0,22780.02,4.9,62.6,539.4
L804400,Tailoring,Biweekly,tier2,0,1,59591.88,14.78,11,7688.86,629.0,14815.21,2.9,65.4,301.8
L805988,Services,Monthly,Tier1,1,0,44044.38,12.3,12,54214.02,737.0,16764.66,2.4,54.8,322.9
L802091,Grocery,Biweekly,Tier1,1,0,46348.13,14.35,5,47885.26,651.0,10732.78,3.1,68.4,132.7
L803593,Grocery,Biweekly,Tier3,1,0,89709.79,26.94,3,40173.55,679.0,33381.62,2.3,73.1,49.0
L802394,Farming,Monthly,Tier3,0,0,299150.34972990555,17.75,17,43165.75,686.0,6915.64,5.8,64.0,496.2
L804511,Food Stall,Weekly,Tier3,0,0,100785.09,20.51,15,50830.46,817.0,29583.27,7.4,31.7,448.2
L806819,Tailoring,Weekly,Tier2,0,1,31976.01,13.99,11,32147.6,733.0,7579.68,5.7,72.3,305.2
L804714,Food Stall,Weekly,Tier3,1,1,71266.47,17.88,9,4396.59,628.0,45013.53,0.0,77.1,246.9
L802161,Handicraft,Biweekly,Tier1,1,1,63736.68,12.56,10,28675.32,600.0,15462.63,0.0,69.3,275.2
L804384,Services,Biweekly,Tier3,1,0,35846.18,14.52,15,38591.78,676.0,7500.38,4.6,64.5,390.6
L805732,farming,Monthly,Tier3,1,1,124086.12,8.0,11,31505.89,619.0,30055.59,2.0,73.2,310.3
L802385,Tailoring,Monthly,Tier1,1,1,38318.98,22.89,17,53906.74,628.0,22895.04,0.9,88.8,452.4
L800167,Handicraft,Monthly,Tier1,0,1,71035.23,19.54,16,26090.63,605.0,17209.91,5.3,64.5,478.9
L804723,Farming,Weekly,Tier3,0,0,136602.84,17.88,17,51342.37,596.0,50379.3,1.3,50.7,467.6
L801911,Tailoring,Monthly,Tier2,0,1,793062.9736228795,19.14,27,38556.06,669.0,32095.3,1.0,50.9,783.3
L809836,Farming,Biweekly,Tier1,0,1,211231.11,14.67,14,,663.0,100601.93,3.1,93.8,374.2
L800117,Tailoring,Monthly,Tier2,1,1,17292.61,11.22,24,26923.46,752.0,3421.08,0.0,69.1,654.5
L806468,Grocery,Monthly,Tier2,1,0,66212.66,17.57,5,63297.85,705.0,21165.57,4.5,75.5,123.2
L806002,Services,Weekly,Tier2,0,0,126402.16,18.0,18,10039.89,555.0,60499.45,6.8,66.6,542.5
L801017,Farming,Monthly,Tier2,1,1,144864.15,14.66,20,32911.78,733.0,19975.76,0.9,69.1,552.8
L801448,Farming,Weekly,Rural,1,1,70377.67,20.5,13,36277.17,617.0,45626.22,9.2,66.7,378.7
L807930,Farming,Weekly,Tier3,0,0,52032.14,16.59,16,42416.77,543.0,11772.56,1.8,57.9,447.0
L800842,Services,Weekly,Tier2,1,1,55221.64,15.13,11,48872.69,655.0,5675.57,5.2,71.2,292.4
L807311,Farming,Monthly,Tier2,0,0,41331.74,19.88,20,22262.76,709.0,7503.97,2.2,59.7,610.0
L804963,Grocery,Weekly,Tier2,1,1,39688.2,13.89,12,45592.53,622.0,7834.01,2.3,82.8,301.1
L807571,Grocery,Biweekly,Tier2,0,1,72096.64,28.55,7,32458.82,543.0,50857.22,1.2,61.5,173.5
L804658,Farming,Biweekly,Tier2,1,0,39583.35,10.79,12,42545.21,691.0,16352.3,3.5,78.6,329.0
L806529,Tailoring,Biweekly,Tier3,0,0,99179.36,23.49,12,32049.64,738.0,47122.44,2.1,53.3,805.1384078253319
L802790,Grocery,Weekly,tier1,1,1,105153.55,8.0,12,68481.59,652.0,37219.18,4.4,85.0,313.0
L804548,Grocery,Monthly,Tier2,0,1,26829.22,16.78,17,25612.13,605.0,0.0,7.3,46.9,1139.735893967121
L800719,Farming,Biweekly,Rural,0,1,81586.56,15.0,12,62582.76,488.0,13045.68,6.5,54.2,322.0
L809753,Food Stall,Weekly,Tier2,0,0,74712.62,11.87,5,46219.35,641.0,32563.74,7.2,66.3,145.4
L802827,Food Stall,Biweekly,Tier3,0,0,97351.11,12.3,7,73107.63,644.0,30683.06,4.0,32.8,171.9
L803255,Services,Biweekly,Tier2,0,0,36830.39,20.04,16,71158.77,639.0,31986.84,6.2,47.1,455.2
L805424,Grocery,Weekly,Tier1,0,0,107254.23,12.27,12,46040.26,613.0,20530.41,3.4,71.4,321.0
L802134,Farming,Weekly,Tier3,1,1,46837.98,8.0,13,35744.82,595.0,21268.06,4.1,78.0,356.3
L802381,Grocery,Monthly,Rural,1,1,83654.44,9.13,18,43300.71,622.0,35080.71,5.1,66.9,513.4
L801003,Farming,Weekly,Tier1,0,1,102550.06,11.09,15,,567.0,72508.99,4.4,56.1,401.2
L800100,Grocery,Biweekly,Tier1,0,1,54277.13,17.33,13,4000.0,594.0,35059.69,6.8,46.4,384.3
L808174,Farming,Weekly,Tier2,0,1,115582.89,24.09,18,53184.16,640.0,55369.18,4.5,44.5,533.5
L808552,Handicraft,Biweekly,Tier3,0,0,41210.93,25.78,7,23655.64,633.0,9561.72,8.5,56.7,229.6
L808853,Farming,Weekly,Tier3,0,1,181492.97,16.16,17,55976.05,592.0,0.0,3.1,58.3,493.6
L809191,Services,Weekly,Tier1,0,1,34176.4,12.32,11,29348.85,693.0,19975.71,6.1,81.4,306.0
L806270,Services,Weekly,Tier3,1,1,37772.75,13.85,8,50620.82,624.0,12154.3,7.6,82.4,199.7
L806213,Grocery,Biweekly,Tier2,1,1,25363.96,8.0,8,4000.0,562.0,7239.87,2.9,92.7,196.3
L805679,Grocery,Monthly,Tier3,1,0,105535.89,14.55,12,53088.01,728.0,23090.02,3.6,97.0,301.3
L804461,Farming,Weekly,Tier1,1,0,33045.8,26.72,13,49916.97,505.0,22144.3,0.0,80.5,367.0
L800162,Handicraft,Weekly,Tier2,0,1,113523.15,20.77,17,44132.59,721.0,8113.92,5.4,51.4,501.3
L809013,Handicraft,Biweekly,tier2,1,0,35376.13,15.14,7,50273.9,615.0,21764.1,2.3,62.6,167.3
L804070,Grocery,Weekly,Tier1,0,0,127281.66,8.0,17,60653.57,709.0,48864.16,1.8,74.6,460.4
L804743,Grocery,Monthly,Tier3,1,0,114968.55,11.01,15,62242.77,669.0,33518.15,5.0,87.1,399.1
L803796,Food Stall,Biweekly,Tier2,1,0,50603.45,16.99,3,41408.18,658.0,0.0,3.5,49.0,70.8
L803625,Services,Biweekly,Tier1,0,0,108141.46,25.71,13,45105.83,666.0,47960.36,6.2,67.0,373.3
L805955,Tailoring,Weekly,Tier2,0,0,47295.27,16.7,9,25196.92,612.0,20568.31,4.0,54.4,248.6
L800814,Handicraft,Monthly,Rural,0,1,91216.99,9.19,14,32849.32,599.0,59147.98,6.3,62.6,401.7
L807857,Farming,Weekly,Tier1,0,1,79906.8,24.17,10,52352.93,653.0,43505.46,2.9,71.1,277.9
L809742,Farming,Weekly,Tier3,1,0,88664.94,12.49,14,43670.42,675.0,12124.17,8.6,84.5,381.2
L803307,Food Stall,Weekly,Rural,0,0,26020.6,23.3,20,5795.42,568.0,7336.02,3.7,56.6,634.3
L806240,Grocery,Monthly,Tier3,0,1,117777.21,14.57,23,65489.49,678.0,68029.38,5.4,70.3,667.8
L804738,Services,Biweekly,Tier1,1,1,40036.4,15.71,12,23068.76,562.0,22458.3,3.9,91.8,347.4
L800002,Tailoring,Biweekly,Tier1,1,0,56507.22,12.47,11,36666.19,693.0,25661.35,5.8,79.2,316.0
L801041,Tailoring,Biweekly,Tier2,0,0,43924.56,21.01,20,21238.01,590.0,0.0,4.5,57.6,582.8
L803302,Grocery,Weekly,rural,0,0,44468.43,14.35,14,47777.66,661.0,15842.59,7.2,56.2,419.0
L802564,Farming,Weekly,Tier3,0,1,104582.6,16.34,9,63313.47,604.0,,0.0,58.0,213.6
L805103,Grocery,Biweekly,Tier2,0,1,53283.69,28.51,19,23897.39,632.0,0.0,3.4,87.8,581.7
L802110,Grocery,Monthly,Tier3,1,0,43685.01,14.55,6,29367.98,626.0,13282.2,4.7,73.8,168.2
L800505,Farming,Weekly,Tier1,0,1,84123.09,27.62,11,44609.99,728.0,39158.55,6.5,86.7,302.5
L805766,Tailoring,weekly,Rural,0,0,129612.73,18.41,20,37028.53,642.0,54347.99,5.0,73.4,589.0
L806406,Tailoring,Biweekly,Tier1,1,1,43542.35,21.61,19,78310.81,717.0,32983.16,3.9,71.7,506.9
L806108,Tailoring,Monthly,Rural,1,1,158624.89,17.52,9,,587.0,46367.01,6.0,68.2,233.3
L808879,Grocery,Weekly,Tier2,0,0,88263.99,24.75,22,21977.25,686.0,23329.2,2.5,44.1,650.9
L801304,Handicraft,Biweekly,Tier3,1,1,58965.79,19.14,5,26769.04,588.0,4380.12,0.5,96.9,113.6
L807213,Food Stall,Monthly,Tier2,0,1,27750.18,16.09,24,32993.84,551.0,7965.72,1.9,100.0,672.7
L806300,Handicraft,Weekly,Tier2,0,1,110360.47,17.81,15,16609.6,619.0,23158.05,3.4,60.9,433.0
L803989,Grocery,Monthly,Tier3,1,1,118816.62,18.44,15,22131.02,682.0,35722.6,5.8,76.2,411.5
L802745,Food Stall,Weekly,Tier3,1,0,46394.45,16.73,12,22501.7,608.0,16049.02,3.0,69.6,313.6
L803419,Services,Weekly,Tier2,0,1,86313.56,30.4,9,4597.12,722.0,31490.75,2.3,62.5,419.16795587855086
L801090,Farming,Weekly,Tier1,1,0,78560.26,17.3,14,19252.21,728.0,33525.93,3.0,76.0,415.0
L808723,Services,Weekly,Rural,0,1,57853.48,20.68,6,26834.09,588.0,0.0,5.5,47.0,164.3
L803831,Tailoring,Biweekly,Tier1,0,0,67091.56,17.5,18,26843.31,,21842.01,2.1,45.2,540.2
L800203,Services,Monthly,Tier1,1,0,29734.86,13.99,5,28382.69,707.0,11390.39,3.4,66.7,121.6
L804101,Farming,Biweekly,Tier2,1,0,171977.58,10.74,12,56171.61,618.0,193886.99,2.9,41.0,290.5
L804640,Grocery,Monthly,Rural,0,0,52917.18,20.25,15,7068.12,616.0,33808.33,6.3,57.0,1036.905181772712
L809016,Food Stall,Weekly,Rural,0,0,28954.1,10.47,15,54203.09,563.0,15925.3,3.0,65.9,393.3
L809017,Farming,Weekly,Tier2,1,0,67705.53,18.07,14,53025.93,694.0,4042.16,5.7,84.4,386.1
L805767,Food Stall,Weekly,Tier3,1,1,84330.86,13.58,14,19866.74,717.0,73229.46,3.7,82.4,389.0
L804158,Tailoring,Weekly,Tier3,0,1,85073.46,19.05,15,18193.91,642.0,8850.61,8.5,76.6,428.9
L807769,Grocery,Monthly,Tier1,0,1,59436.6,13.46,10,59444.96,540.0,22916.64,7.0,67.2,252.6
L805574,Handicraft,Biweekly,Tier2,1,1,54556.59,15.45,14,59665.56,538.0,23285.99,2.5,62.4,399.8
L807481,Food Stall,Biweekly,Tier1,0,0,180662.66,10.67,15,69253.53,621.0,43074.03,5.5,75.1,398.8
L802482,Farming,Biweekly,Rural,0,0,54994.24,11.93,17,59468.68,,18560.71,6.3,49.2,506.1
L801500,Tailoring,Weekly,Tier1,0,0,53062.92,19.19,17,30337.09,649.0,33438.46,5.4,69.5,475.5
L803921,Tailoring,Biweekly,Tier3,1,1,20820.16,12.12,11,48079.41,702.0,3019.13,1.7,76.1,278.4
L806210,Tailoring,Weekly,Tier3,0,0,31414.53,20.51,19,9140.01,590.0,5668.22,1.6,72.5,551.5
L806505,Tailoring,Monthly,Tier2,0,1,157699.63,17.95,13,69239.57,609.0,11882.67,3.8,71.2,373.1
L803146,Services,Monthly,Tier2,0,1,96660.76,18.6,11,,704.0,19433.81,0.3,66.9,316.7
L802600,Farming,Monthly,Tier3,0,0,54554.06,12.97,15,7136.77,648.0,17248.94,4.9,64.0,460.1
L807348,Farming,Biweekly,Tier2,0,1,83863.72,21.55,22,79356.85,679.0,42591.45,4.4,58.0,629.9
L802724,Services,Monthly,Tier2,0,1,131308.13,15.12,6,44456.97,680.0,52103.78,4.2,65.2,386.9981734203712
L801669,Farming,Monthly,Tier2,0,0,66432.32,21.82,11,31176.77,655.0,2338.96,2.6,38.9,330.4
L809250,Farming,Weekly,Tier2,0,0,92476.14,11.8,19,55442.85,702.0,51984.26,0.6,64.7,540.3
L804176,Farming,Weekly,Tier3,1,0,122232.92,16.24,12,22343.26,695.0,48172.53,5.3,83.4,319.3
L802164,Grocery,Weekly,rural,1,0,153536.52,20.35,14,57318.76,599.0,51195.86,4.5,71.3,373.9
L800103,Services,Biweekly,Tier3,1,0,91058.24,15.42,6,24327.26,677.0,43688.63,7.7,73.8,173.8
L808319,Grocery,Monthly,Tier3,1,1,50003.48,13.8,14,63188.4,610.0,30395.65,1.6,85.2,330.8
L801716,Handicraft,Weekly,Rural,1,0,118547.94,19.86,12,38417.55,698.0,76479.97,3.8,69.0,338.3
L805396,Food Stall,Biweekly,Tier1,1,1,38538.98,11.03,13,10047.95,657.0,18307.86,5.6,79.9,360.4
L804505,Handicraft,Monthly,tier2,0,0,36582.54,15.42,6,44707.89,594.0,24676.39,5.1,51.2,136.4
L808844,Services,Weekly,Tier2,0,1,97889.01,21.01,15,34701.0,576.0,0.0,5.6,48.4,453.1
L803662,Handicraft,Monthly,Tier2,1,1,68391.07,14.83,9,34852.76,623.0,47675.09,6.9,55.9,250.6
L802839,Grocery,Monthly,Tier2,0,1,68036.43,27.38,28,32527.97,528.0,8699.02,3.6,63.1,857.0
L801374,Food Stall,Weekly,Tier2,0,0,141308.03,11.07,6,65060.51,679.0,34761.43,5.3,73.8,148.3
L800025,Farming,Monthly,Tier1,1,1,70667.97,19.22,8,51625.78,640.0,32658.76,2.5,93.2,210.9
L807904,Farming,Monthly,tier1,0,1,52792.03,18.79,13,35652.58,607.0,0.0,4.4,80.8,369.7
L802240,Grocery,Weekly,Tier2,1,1,127898.25,16.33,7,9188.85,,47379.09,3.4,70.2,198.7
L804350,Handicraft,Biweekly,Tier2,0,1,76448.61,22.85,12,44137.58,731.0,23346.89,3.8,60.1,378.8
L806126,Tailoring,Weekly,Tier1,0,1,58177.86,23.15,13,77172.72,623.0,5051.07,7.6,60.1,358.0
L805991,Tailoring,Weekly,Tier2,0,1,26268.81,23.52,18,24811.85,688.0,16319.71,3.0,71.5,534.6
L806892,Farming,Monthly,Tier3,0,1,82278.53,9.21,16,57660.62,658.0,12714.14,2.0,77.8,446.1
L802143,Food Stall,Weekly,Tier2,0,1,135008.74,19.34,7,43649.07,626.0,49954.92,4.3,55.1,180.4
L800921,Farming,Weekly,Tier2,0,1,97779.84,13.45,13,70717.16,685.0,27567.65,5.3,40.0,381.0
L809835,Food Stall,Weekly,Tier2,0,0,61496.82,21.95,12,67701.38,695.0,39115.81,8.5,56.4,364.5
L809945,Tailoring,Monthly,Tier3,1,0,56269.41,14.55,12,60875.47,669.0,20788.9,4.2,59.4,310.3
L807987,Farming,Weekly,Tier2,0,0,130501.24,23.84,20,41060.66,531.0,26586.73,1.4,71.2,573.2
L801529,Services,Weekly,Tier3,0,1,106458.27,22.89,11,52791.2,645.0,23814.26,2.1,57.9,298.5
L802968,Food Stall,Weekly,Tier2,0,0,108590.17,20.55,15,58765.12,643.0,4038.45,5.6,52.1,411.7
L801687,Farming,Biweekly,Tier1,1,1,29998.01,16.02,12,,685.0,22783.12,3.8,66.5,314.0
L803135,Tailoring,Weekly,Tier3,0,0,53301.23,21.14,20,49606.12,,25816.01,4.3,69.0,582.3
L805605,Grocery,Weekly,Tier2,0,1,44585.42,18.94,24,38899.53,599.0,27213.08,0.0,58.0,706.0
L807422,Services,Weekly,Tier1,0,0,76201.23,19.8,18,33369.3,662.0,22421.68,8.0,73.5,519.0
L808444,Food Stall,Monthly,Tier1,1,1,32684.43,22.41,17,29865.9,618.0,12870.23,3.4,73.9,475.9
L800677,Handicraft,Weekly,Tier2,1,1,86769.43,10.76,17,44890.87,680.0,28758.2,5.5,55.3,458.4
L806775,Grocery,Weekly,Tier1,0,1,133546.68,22.0,23,22169.89,575.0,9896.99,5.1,63.3,660.7
L804437,Farming,Weekly,Tier3,1,0,27574.63,14.22,21,9636.58,594.0,12957.09,1.6,72.8,606.3
L808070,Grocery,Biweekly,Tier2,0,0,66053.77,20.25,16,41356.06,633.0,0.0,1.1,65.9,423.2
L801756,Farming,Biweekly,Tier2,0,0,76346.29,12.01,16,42271.66,755.0,7139.38,4.9,77.8,443.0
L809103,grocery,Weekly,Tier2,0,0,56529.48,11.9,8,42667.74,676.0,31018.67,2.8,69.4,205.6
L808475,Handicraft,Monthly,Tier3,1,1,31963.52,21.4,4,64242.39,613.0,10095.75,5.6,75.7,92.2
L802697,Tailoring,Weekly,Tier2,1,1,31398.72,17.49,13,,710.0,15815.88,1.5,66.8,348.7
L800415,Grocery,Biweekly,Tier1,0,1,71574.1,25.07,17,30595.79,707.0,18267.61,1.6,79.5,476.7
L804151,Services,Biweekly,Tier3,1,1,60094.7,17.06,16,59120.63,748.0,744.12,4.4,75.0,445.9
L801579,Handicraft,Monthly,Tier3,0,1,15154.35,23.01,13,19785.66,644.0,0.0,1.8,86.3,383.1
L802627,Tailoring,Monthly,Tier2,1,1,91288.45,15.34,12,34643.64,634.0,15217.03,5.5,54.8,382.8
L807553,Handicraft,Weekly,Tier3,0,0,14858.98,12.3,6,36893.2,628.0,8476.81,2.5,69.5,120.2
L804791,Handicraft,Monthly,Tier2,0,0,27467.11,23.46,18,27538.23,660.0,8966.42,4.9,64.8,543.1
L806987,Farming,Weekly,Tier1,1,1,48872.62,18.56,8,28481.14,514.0,33830.76,6.8,63.4,217.1
L800995,Tailoring,Weekly,Tier3,1,1,131498.75,11.85,3,48445.79,746.0,11950.53,1.9,71.8,41.4
L801417,Handicraft,Biweekly,Tier1,0,0,58311.24,14.66,10,42044.25,678.0,16221.74,6.7,47.9,286.1
L809745,Food Stall,Biweekly,Tier2,1,0,66320.53,14.89,5,20402.05,656.0,25119.86,3.6,65.9,172.1
L804048,Food Stall,Weekly,Tier2,0,1,57428.76,20.18,17,71787.52,626.0,16556.28,4.4,70.1,471.7
L803889,Food Stall,Weekly,Rural,1,0,88786.9,22.03,14,43172.32,643.0,0.0,2.3,45.0,406.9
L808118,Tailoring,monthly,Rural,0,1,107371.56,19.45,14,38771.63,537.0,100918.87,6.6,83.8,409.3
L807875,Services,Biweekly,Tier3,1,1,103142.13,13.83,12,32106.78,679.0,34249.52,4.9,58.7,343.3
L808854,Food Stall,Weekly,Tier2,1,1,127733.29,11.49,18,19435.3,685.0,16749.32,4.1,84.4,527.3
